month,currency,rate
2024-11,USD,0.7720815318
2024-12,CHF,0.8917424648
2024-12,DKK,0.1117655606
2024-12,EUR,0.8336112037
2024-12,HKD,0.1014620684
2024-12,JPY,0.0050681745
2024-12,SEK,0.0717947245
2024-12,USD,0.7897646501
2025-01,CHF,0.8803591865
2025-01,DKK,0.1107137717
2025-01,EUR,0.8260366760
2025-01,HKD,0.1012699249
2025-01,JPY,0.0051209544
2025-01,SEK,0.0718401126
2025-01,USD,0.7869678130
2025-02,CHF,0.8945343948
2025-02,DKK,0.1132682419
2025-02,EUR,0.8451656525
2025-02,HKD,0.1039166173
2025-02,JPY,0.0051916012
2025-02,SEK,0.0737463127
2025-02,USD,0.8092579105
2025-03,CHF,0.8789663356
2025-03,DKK,0.1110518834
2025-03,EUR,0.8282945415
2025-03,HKD,0.1021669612
2025-03,JPY,0.0052324298
2025-03,SEK,0.0740285602
2025-03,USD,0.7945967422
2025-04,CHF,0.8767315448
2025-04,DKK,0.1126874838
2025-04,EUR,0.8405480373
2025-04,HKD,0.0991630637
2025-04,JPY,0.0051427790
2025-04,SEK,0.0764537684
2025-04,USD,0.7705347511
2025-05,CHF,0.9234463016
2025-05,DKK,0.1146591756
2025-05,EUR,0.8561643836
2025-05,HKD,0.0970920918
2025-05,JPY,0.0052814846
2025-05,SEK,0.0766447974
2025-05,USD,0.7535227187
2025-06,CHF,0.9030976249
2025-06,DKK,0.1131695393
2025-06,EUR,0.8441668074
2025-06,HKD,0.0951991089
2025-06,JPY,0.0051860307
2025-06,SEK,0.0778125340
2025-06,USD,0.7456009544
2025-07,CHF,0.9094216079
2025-07,DKK,0.1146999449
2025-07,EUR,0.8555051758
2025-07,HKD,0.0947059381
2025-07,JPY,0.0051321924
2025-07,SEK,0.0776066121
2025-07,USD,0.7434391495
2025-08,CHF,0.9309253398
2025-08,DKK,0.1160200483
2025-08,EUR,0.8660258076
2025-08,HKD,0.0940778023
2025-08,JPY,0.0050514414
2025-08,SEK,0.0776319160
2025-08,USD,0.7384978953
2025-09,CHF,0.9192021325
2025-09,DKK,0.1157474391
2025-09,EUR,0.8640801866
2025-09,HKD,0.0949820959
2025-09,JPY,0.0050305404
2025-09,SEK,0.0773090274
2025-09,USD,0.7422251911
2025-10,CHF,0.9313588526
2025-10,DKK,0.1162182579
2025-10,EUR,0.8674531575
2025-10,HKD,0.0942311679
2025-10,JPY,0.0050071602
2025-10,SEK,0.0791414733
2025-10,USD,0.7327617791
2025-11,CHF,0.9423294384
2025-11,DKK,0.1163534819
2025-11,EUR,0.8691117678
2025-11,HKD,0.0965614469
2025-11,JPY,0.0049438502
2025-11,SEK,0.0795874188
2025-11,USD,0.7503001200
2025-12,CHF,0.9502993443
2025-12,DKK,0.1181809587
2025-12,EUR,0.8827683616
2025-12,HKD,0.0978473581
2025-12,JPY,0.0048805986
2025-12,SEK,0.0803025801
2025-12,USD,0.7618467164
2026-01,CHF,0.9411764706
2026-01,DKK,0.1175778954
2026-01,EUR,0.8785802144
2026-01,HKD,0.0964431757
2026-01,JPY,0.0048235451
2026-01,SEK,0.0803070943
2026-01,USD,0.7502438292
2026-02,CHF,0.9427736400
2026-02,DKK,0.1169262429
2026-02,EUR,0.8735150245
2026-02,HKD,0.0956379530
2026-02,JPY,0.0047216761
2026-02,SEK,0.0818565055
2026-02,USD,0.7457121551
2026-03,CHF,0.9553835865
2026-03,DKK,0.1167024554
2026-03,EUR,0.8719155986
2026-03,HKD,0.0942675880
2026-03,JPY,0.0047932297
2026-03,SEK,0.0820270525
2026-03,USD,0.7367567966
2026-04,CHF,0.9526531390
2026-04,DKK,0.1156684480
2026-04,EUR,0.8643042351
2026-04,HKD,0.0954845363
2026-04,JPY,0.0047081489
2026-04,SEK,0.0804557011
2026-04,USD,0.7484469725
2026-05,CHF,0.9471490813
2026-05,DKK,0.1162858306
2026-05,EUR,0.8691117678
2026-05,HKD,0.0945653305
2026-05,JPY,0.0046505463
2026-05,SEK,0.0806529664
2026-05,USD,0.7406310176
2026-06,CHF,0.9445546425
2026-06,DKK,0.1158560604
2026-06,EUR,0.8658008658
2026-06,HKD,0.0952816526
2026-06,JPY,0.0046927581
2026-06,SEK,0.0795342474
2026-06,USD,0.7463243526
2026-07,CHF,0.9407337723
2026-07,DKK,0.1156831669
2026-07,EUR,0.8647526807
2026-07,HKD,0.0952117986
2026-07,JPY,0.0046535263
2026-07,SEK,0.0793827200
2026-07,USD,0.7460459564
